signal,system,trial,requested_rps,completed_requests,nominal_achieved_rps,effective_completion_rps,elapsed_to_last_completion_s,post_window_drain_s,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,scheduling_mean_us,scheduling_p95_us,scheduling_p99_us,scheduling_max_us,interarrival_mean_us,worker_busy_events,backlog_count,http_errors,connection_errors,timeouts,other_errors,valid_steady_state,invalid_reason
bm25,LLMR,2,100,4000,100.0,43.60051299247414,91.74203984,51.742039840000004,91697.4642445,85414.52100000001,126509.27994999994,147855.1841799998,158374.475,25688986.150649,48754804.47054999,51237392.69077,51694775.167,22919.575805451364,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
bm25,XSR,3,100,4000,100.0,100.02087750779353,39.99165074,0.0,562.1913364999999,509.8595,892.2205500000001,1510.1182300000025,6155.36,1082.306136,2041.2744,2193.2060100000003,5873.557,10000.209763190798,0,0,0,0,0,0,True,
bm25,VSR,3,100,4000,100.0,100.01680189756337,39.99328037,0.0,2744.39593,2560.3785,4145.5883,5522.939390000002,9572.293,654.8645625,1107.79655,1176.4958500000002,4087.911,9999.941905226306,0,0,0,0,0,0,True,
bm25,LLMR,3,100,4000,100.0,43.641907471678515,91.655022242,51.655022242,91607.86153175,84965.8315,126807.01209999999,148803.03737,381690.272,25803352.5045265,48762563.88545,51179180.4444,51610213.205,22898.422929982495,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
bm25,XSR,4,100,4000,100.0,100.01872070399162,39.99251312,0.0,554.99161425,503.47249999999997,876.0465500000001,1522.038310000001,6591.153,1095.05115875,2047.63245,2152.5755000000004,4815.211,10000.371740185046,0,0,0,0,0,0,True,
bm25,VSR,4,100,4000,100.0,100.0166929960961,39.993323916,0.0,2763.0595980000003,2565.6165,4128.365450000002,5523.562180000012,9024.654,669.25150775,1107.4414,1206.0988800000011,3824.437,9999.937459614905,0,0,0,0,0,0,True,
bm25,LLMR,4,100,4000,100.0,43.91393282045986,91.08726418,51.087264180000005,91040.42490625,84466.652,126344.59844999999,148889.13373999984,161913.66,25540382.1208385,48199724.344399996,50597472.289749995,51039263.813,22755.727383845962,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
bm25,XSR,5,100,4000,100.0,100.0195289030359,39.992189964,0.0,573.95190025,521.8715,888.1065000000001,1489.1036700000034,6476.929,1088.476064,2067.1594000000005,2221.752230000001,5990.824,10000.322447861965,0,0,0,0,0,0,True,
bm25,VSR,5,100,4000,100.0,100.01659964752565,39.993361243,0.0,2712.8593695,2555.241,3930.265950000001,5472.127910000007,10026.244,661.01877475,1110.4901,1168.9273400000002,2667.675,10000.187118779695,0,0,0,0,0,0,True,
bm25,LLMR,5,100,4000,100.0,43.750320275996934,91.427902122,51.427902122000006,91380.47706675,84814.9375,125318.928,147844.11126,383785.654,25846149.0638035,48572959.479949996,50946864.498409994,51382278.394,22841.260692423104,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
intent,XSR,1,100,4000,100.0,100.0217754106528,39.991291732,0.0,386.6995715,382.745,492.3015,550.3772099999999,1891.554,1071.19053925,2011.5966499999997,2120.53824,2707.774,10000.151518129533,0,0,0,0,0,0,True,
intent,VSR*,1,100,4000,100.0,100.01607117741241,39.993572562,0.0,1443.11274625,1422.4425,1673.83995,1917.89889,8010.591,980.98884225,2062.76805,2127.2482800000002,2665.793,10000.203449862465,0,0,0,0,0,0,True,
intent,LLMR,1,100,4000,100.0,48.08201766027189,83.191184452,43.191184452,83146.12522125,82556.4415,85518.8771,88112.18167999997,384919.949,21724720.27675225,41040967.1059,42724233.722519994,43147279.55,20782.11296099025,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
intent,XSR,2,100,4000,100.0,100.02283357753241,39.990868654,0.0,389.02796025,388.471,490.49399999999997,560.2672,1825.931,1078.95205875,1998.49225,2105.23977,2767.759,9999.818778694673,0,0,0,0,0,0,True,
intent,VSR*,2,100,4000,100.0,100.02125572960027,39.991499515,0.0,1439.71782325,1417.383,1687.867,1925.58081,5051.204,978.54385275,2058.95715,2121.9272599999995,2732.811,10000.006577394348,0,0,0,0,0,0,True,
intent,LLMR,2,100,4000,100.0,49.1462178265966,81.389782915,41.389782915,81343.29536075,81169.745,83889.1927,86512.76074999999,92539.629,20689361.6516465,39322617.458799995,40945650.59070999,41347974.772,20332.27999299825,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
intent,XSR,3,100,4000,100.0,100.02145385169028,39.9914203,0.0,389.3899605,386.808,498.8379999999999,557.38191,1856.148,1078.62448125,2011.9785499999998,2119.0177699999995,2732.614,9999.959093023255,0,0,0,0,0,0,True,
intent,VSR*,3,100,4000,100.0,100.01633659340692,39.99346643,0.0,1425.48969025,1408.286,1653.6291,1860.0510499999991,2682.673,1000.89753175,2070.20605,2127.55234,2704.087,10000.32061140285,0,0,0,0,0,0,True,
intent,LLMR,3,100,4000,100.0,48.8460870686823,81.889875731,41.889875731000004,81843.0164855,81293.90950000001,84875.04490000001,87348.93154,384434.614,20979357.51828075,39737773.2437,41430310.36208,41856821.498,20456.74389147287,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
intent,XSR,4,100,4000,100.0,100.02145964417524,39.991417984,0.0,389.6313185,387.554,490.35005,543.9840099999998,1806.165,1080.064845,2030.72405,2122.922969999999,2665.296,10000.125933233308,0,0,0,0,0,0,True,
intent,VSR*,4,100,4000,100.0,100.01743773521594,39.993026122,0.0,1456.97751675,1432.709,1696.7365,1963.3413999999998,10765.737,968.62310425,2079.3334,2132.6333599999994,2686.149,10000.195874968742,0,0,0,0,0,0,True,
intent,LLMR,4,100,4000,100.0,48.87229714296971,81.845958423,41.845958423,81800.67106,81477.3095,84973.87855,88486.5452799999,111220.31,20830467.48388375,39670559.31715,41371467.174729995,41803275.427,20446.09670467617,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
intent,XSR,5,100,4000,100.0,100.01911139175505,39.992356904,0.0,389.88112675,387.8945,492.43749999999994,547.6396499999994,1803.951,1068.99524575,2012.8403,2107.43227,2767.804,10000.433188297075,0,0,0,0,0,0,True,
intent,VSR*,5,100,4000,100.0,100.02048910467413,39.991806037,0.0,1460.523872,1441.0485,1700.059,1934.8138799999992,3293.004,955.340568,2066.2444,2120.28305,2689.234,9999.885180545136,0,0,0,0,0,0,True,
intent,LLMR,5,100,4000,100.0,49.0034434333676,81.626916799,41.626916799,81580.4456285,80859.3875,84548.41415,88368.22795999999,383826.597,20695278.8856205,39426127.035,41164692.28711,41584905.823,20391.63247811953,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
